subclass_id,subclass,event_type_id,name,Country classification,Group
23,|Horse Racing|,39269,KEMBLA G'NGE,ROW,8
23,|Horse Racing|,39663,DELTA DOWNS,US3,5
23,|Horse Racing|,39690,FAIR GROUNDS,US2,4
23,|Horse Racing|,39691,FAIR MEADOWS,US3,5
23,|Horse Racing|,39692,INDIANA GRAND RACE COURSE,US3,5
23,|Horse Racing|,39693,KENTUCKY DOWNS,US2,4
23,|Horse Racing|,39694,OAKLAND PARK,ROW,8
23,|Horse Racing|,39719,MAHONING VALLEY,US2,4
23,|Horse Racing|,39720,PORTLAND MEADOWS,US3,5
23,|Horse Racing|,39729,CHARLES TOWN,US3,5
23,|Horse Racing|,39731,BLOEMFONTEIN,SA,7
23,|Horse Racing|,39732,KIMBERLEY,ROW,8
23,|Horse Racing|,39733,GOSFORTH PARK,ROW,8
23,|Horse Racing|,39739,SHA TIN,ROW,8
23,|Horse Racing|,39758,MOUNT BARKER,ROW,8
23,|Horse Racing|,39885,PENN NATIONAL,US3,5
23,|Horse Racing|,39886,PRESQUE ISLE DOWNS,US3,5
23,|Horse Racing|,39905,TERANG,ROW,8
23,|Horse Racing|,39906,LE MANS,FRA,2
23,|Horse Racing|,39920,BORROWDALE,ROW,8
23,|Horse Racing|,39921,MILNERTON,ROW,8
23,|Horse Racing|,39931,ESPERANCE,ROW,8
23,|Horse Racing|,39932,PORNICHET ,FRA,2
23,|Horse Racing|,40631,TRANSVAAL,ROW,8
23,|Horse Racing|,40648,LOS ALAMITOS,US2,4
23,|Horse Racing|,40651,DOOMBEN,ROW,8
23,|Horse Racing|,40655,MAHONING V',ROW,8
23,|Horse Racing|,40872,WANGARATTA,ROW,8
23,|Horse Racing|,40904,MAITLAND,ROW,8
23,|Horse Racing|,40906,GLOUCEST' PK,ROW,8
23,|Horse Racing|,40909,zCHELMSFORD,UK,1
23,|Horse Racing|,41023,ADANA,ROW,8
23,|Horse Racing|,41038,TEMORA,ROW,8
23,|Horse Racing|,41051,TARBES,ROW,8
23,|Horse Racing|,41052,CAMBRIDGE,ROW,8
23,|Horse Racing|,41053,BURNIE,ROW,8
23,|Horse Racing|,41211,SAM HOUSTON RACE PARK,US3,5
23,|Horse Racing|,41242,DEVONPORT,ROW,8
23,|Horse Racing|,41287,LEETON,ROW,8
23,|Horse Racing|,41664,MONT DE MAR',FRA,2
23,|Horse Racing|,42117,LOUISIANA DOWNS,US3,5
23,|Horse Racing|,42573,DOHA,ROW,8
23,|Horse Racing|,42623,B'MONT DE L',FRA,2
23,|Horse Racing|,42624,CAVAILLON,FRA,2
23,|Horse Racing|,42630,C'TLLY MIDI,FRA,2
23,|Horse Racing|,42631,GRAIGNES,FRA,2
23,|Horse Racing|,42632,LAVAL,FRA,2
23,|Horse Racing|,42633,LISIEUX,FRA,2
23,|Horse Racing|,42696,LYON-LA SOIE,FRA,2
23,|Horse Racing|,42698,MARSEILLEV,FRA,2
23,|Horse Racing|,42699,MAURE DE B',FRA,2
23,|Horse Racing|,42700,MESLAY DU M',FRA,2
23,|Horse Racing|,42703,MONT ST MIC',FRA,2
23,|Horse Racing|,42704,MOULINS,FRA,2
23,|Horse Racing|,42705,NANTES,FRA,2
23,|Horse Racing|,42707,PONTCHATEAU,FRA,2
23,|Horse Racing|,42708,REIMS,FRA,2
23,|Horse Racing|,42709,SABLES D'OL',FRA,2
23,|Horse Racing|,42710,SAINT-BRIEUC,FRA,2
23,|Horse Racing|,42711,SAINT-GALM',FRA,2
23,|Horse Racing|,42712,PORNICHET,FRA,2
23,|Horse Racing|,42713,BAD DOBERAN,ROW,8
23,|Horse Racing|,42714,BAD HARZBURG,ROW,8
23,|Horse Racing|,42715,BILLIGHEIM,ROW,8
23,|Horse Racing|,42716,BLIESKASTEL,ROW,8
23,|Horse Racing|,42717,CUXHAVEN,ROW,8
23,|Horse Racing|,42718,ERBACH,ROW,8
23,|Horse Racing|,42719,GELSENKIRCHN,ROW,8
23,|Horse Racing|,42720,GOTHA,ROW,8
23,|Horse Racing|,42721,HALLE,ROW,8
23,|Horse Racing|,42725,HASSLOCH,ROW,8
23,|Horse Racing|,42726,HOOKSIEL,ROW,8
23,|Horse Racing|,42728,KARLSRUHE,ROW,8
23,|Horse Racing|,42729,LEBACH,FRA,2
23,|Horse Racing|,42731,MANNHEIM,ROW,8
23,|Horse Racing|,42732,MIESAU,ROW,8
23,|Horse Racing|,42733,QUAKENBRUCK,ROW,8
23,|Horse Racing|,42734,SAARBRUCKEN,ROW,8
23,|Horse Racing|,42735,VERDEN,ROW,8
23,|Horse Racing|,42738,WARENDORF,ROW,8
23,|Horse Racing|,42739,ATLANTIC CTY,ROW,8
23,|Horse Racing|,42740,BAY MEADOWS,ROW,8
23,|Horse Racing|,42741,GSTREAM PK W,US2,4
23,|Horse Racing|,42742,DOC JAMES,ROW,8
23,|Horse Racing|,42743,ELLIS PARK,US3,5
23,|Horse Racing|,42744,EMERALD DWNS,US3,5
23,|Horse Racing|,42745,EVANGELINE,US3,5
23,|Horse Racing|,42746,FONNER PARK,ROW,8
23,|Horse Racing|,42747,GARDEN STATE,ROW,8
23,|Horse Racing|,42748,GOLDEN GATE,US2,4
23,|Horse Racing|,42749,GREAT LAKES,ROW,8
23,|Horse Racing|,42750,HAZEL PARK,US3,5
23,|Horse Racing|,42752,HIALEAH,ROW,8
23,|Horse Racing|,42753,HOLLYWOOD PK,US3,5
23,|Horse Racing|,42754,N.CALF.FAIRY,ROW,8
23,|Horse Racing|,42755,OAKLAWN,ROW,8
23,|Horse Racing|,42756,PENN NATIONL,US3,5
23,|Horse Racing|,42757,REMINGTON,US3,5
23,|Horse Racing|,42800,RETAMA PARK,US3,5
23,|Horse Racing|,42801,RIBBON DOWNS,US3,5
23,|Horse Racing|,42802,ROCKINGHAM,ROW,8
23,|Horse Racing|,42803,SPORTSMAN'S,ROW,8
23,|Horse Racing|,42804,ADDINGTON,ROW,8
23,|Horse Racing|,42805,ALEXANDRA PK,ROW,8
23,|Horse Racing|,42806,BAIRNSDALE,ROW,8
23,|Horse Racing|,42807,BENALLA,ROW,8
23,|Horse Racing|,42808,CASINO,ROW,8
23,|Horse Racing|,42809,CHARLTON,ROW,8
23,|Horse Racing|,42810,COONABARB',ROW,8
23,|Horse Racing|,42811,COONAMBLE,ROW,8
23,|Horse Racing|,42812,COOTAMUNDRA,ROW,8
23,|Horse Racing|,42814,EAGLE FARM,ROW,8
23,|Horse Racing|,42815,ECHUCA,ROW,8
23,|Horse Racing|,42816,EUGOWRA,ROW,8
23,|Horse Racing|,42817,GAWLER,ROW,8
23,|Horse Racing|,42818,GUNDAGAI,ROW,8
23,|Horse Racing|,42819,HALIDON,ROW,8
23,|Horse Racing|,42820,HAMILTON AU,ROW,8
23,|Horse Racing|,42821,HASTINGS,ROW,8
23,|Horse Racing|,42822,HORSHAM,ROW,8
23,|Horse Racing|,42823,MARYBOROUGH,ROW,8
23,|Horse Racing|,42824,MOE,ROW,8
23,|Horse Racing|,42825,M'NEE VALLEY,ROW,8
23,|Horse Racing|,42826,MURTOA,ROW,8
23,|Horse Racing|,42827,MURWILLUMBAH,ROW,8
23,|Horse Racing|,42828,MUSWELLBROOK,ROW,8
23,|Horse Racing|,42829,NARACOORTE,ROW,8
23,|Horse Racing|,42830,NYAH,ROW,8
23,|Horse Racing|,42831,OAKBANK,ROW,8
23,|Horse Racing|,42833,PAKENHAM,ROW,8
23,|Horse Racing|,42835,PENOLA,ROW,8
23,|Horse Racing|,42836,PORT AUGUSTA,ROW,8
23,|Horse Racing|,42837,PORT HEDLAND,ROW,8
23,|Horse Racing|,42838,ROEBOURNE,ROW,8
23,|Horse Racing|,42839,ST ARNAUD,ROW,8
23,|Horse Racing|,42987,STAWELL,ROW,8
23,|Horse Racing|,42988,SUNSHINE C'T,ROW,8
23,|Horse Racing|,42989,VICTORIA PK,ROW,8
23,|Horse Racing|,42990,WAGIN,ROW,8
23,|Horse Racing|,42991,WARRACKNAB',ROW,8
23,|Horse Racing|,42992,WARRAGUL,ROW,8
23,|Horse Racing|,42993,WEERIBEE,ROW,8
23,|Horse Racing|,42995,WOODVILLE,ROW,8
23,|Horse Racing|,42996,YARRA VALLEY,ROW,8
23,|Horse Racing|,42997,HAPPY VALLEY,ROW,8
23,|Horse Racing|,42998,MACAU,ROW,8
23,|Horse Racing|,43226,OAKLAWN PARK,US2,4
23,|Horse Racing|,43237,MANAWATU,ROW,8
23,|Horse Racing|,43307,GATTON,ROW,8
23,|Horse Racing|,43362,JAGERSRO,ROW,8
23,|Horse Racing|,43367,LION DANGER,FRA,2
23,|Horse Racing|,43407,TOURS,FRA,2
23,|Horse Racing|,43420,ALISON,ROW,8
23,|Horse Racing|,43421,DOS HERMANAS,ROW,8
23,|Horse Racing|,43422,DUBAI,UAE,6
